window_title,process_name,label
"UNESCO Institute for Statistics: Literacy Rates by Region"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Comparative Analysis of Teacher Certification Policies: EU vs US"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"World Bank Open Data: Education Expenditure per Student"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"PISA 2023 Results: Mathematical Literacy Trends Across Nations"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
AAVE_Curriculum_Draft_v3.docx - Microsoft Word,winword.exe,on_task
Why_Slang_Is_Taking_Over_Blog_Post.docx - Microsoft Word,winword.exe,distracted
Linguistics_101_AAVE_Lesson_Plan.docx - Microsoft Word,winword.exe,on_task
My_Thoughts_on_TikTok_Language.docx - Microsoft Word,winword.exe,distracted
Final_Draft_AAVE_Educational_Policy.docx - Microsoft Word,winword.exe,on_task
Weekend_Rant_Gen_Z_Speak.docx - Microsoft Word,winword.exe,distracted
Seminar_Notes_AAVE_in_Classrooms.docx - Microsoft Word,winword.exe,on_task
Draft_Post_Evolution_of_Memes.docx - Microsoft Word,winword.exe,distracted
Grant_Proposal_AAVE_Research_Initiative.docx - Microsoft Word,winword.exe,on_task
Personal_Essay_Language_Pet_Peeves.docx - Microsoft Word,winword.exe,distracted
Course_Module_Dialect_Variation_AAVE.docx - Microsoft Word,winword.exe,on_task
Blog_Article_Top_10_New_Words_2024.docx - Microsoft Word,winword.exe,distracted
Lecture 4: Dynamic Programming - CS301,chrome.exe,on_task
Top 10 Epic Gaming Moments,chrome.exe,distracted
Final_Exam_Notes.docx,winword.exe,on_task
Summer Festival Tickets.pdf,winword.exe,distracted
Project Alpha: Pathfinding Algorithm,code.exe,on_task
Skyrim Mod: New Armor,code.exe,distracted
The Industrial Revolution: Crash Course History #32 - YouTube,chrome.exe,on_task
Buy Concert Tickets - O2 Arena London,chrome.exe,distracted
main.py - mod_inventory_system [VS Code],code.exe,distracted
Jane Eyre - Full Text PDF,chrome.exe,on_task
Discord - #general - Study Group,discord.exe,on_task
"PGPM_2024_Course_Structure_Final.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Core_Curriculum_Overview_v3.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Module_Allocation_Matrix.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Academic_Roadmap_2024-2025.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Credit_Requirement_Breakdown.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Elective_Selection_Guidelines.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"PGPM_Semester_Wise_Syllabus_Draft.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
VS Code - mod_inventory_items.cpp,code.exe,distracted
Quantum Mechanics: Lecture 4 - Potential Wells [YouTube],chrome.exe,on_task
Top 10 Quantum Mechanics Fails [YouTube],chrome.exe,distracted
CS101_Assignment3_Solutions.pdf,chrome.exe,on_task
Black Friday Deals - Laptops & Accessories [Chrome],chrome.exe,distracted
main.cpp - StudentPortalSubmission - Visual Studio Code,code.exe,on_task
main.cpp - SkyrimModdingProject - Visual Studio Code,code.exe,distracted
Lecture 4: The French Revolution - YouTube,chrome.exe,on_task
Top 10 Funny Cat Fails 2027 - YouTube,chrome.exe,distracted
History 101: Exam Notes - OneNote,onenote.exe,on_task
"Black Friday Deals: Laptops & Tablets - Word"" (User accidentally opened a shopping page in a web view or similar, but let's stick to the prompt's specific request for identical apps where title is the key. A better example for Word might be opening a non-school document, but the prompt asked for ""course notes vs online shopping"" which usually implies a browser. Let's try the IDE example for clearer contrast within the allowed list).",chrome.exe,on_task
Minecraft Speedrun World Record Attempts - Google Chrome,chrome.exe,distracted
main.py - CourseProject - Visual Studio Code,code.exe,on_task
skyrim_mod_script.lua - ModdingTest - Visual Studio Code,code.exe,distracted
"Introduction to Macroeconomics.pdf - Adobe Reader"" (Wait, process must be from list. Let's use Edge for PDFs).",msedge.exe,on_task
Concert Tickets - Taylor Swift Tour.pdf - Microsoft Edge,msedge.exe,distracted
Study Group: History Final Prep - Discord,discord.exe,on_task
General Memes & Gaming Chat - Discord,discord.exe,distracted
"Unit_4_TextToSelf_Reflections.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Lesson_Plan_Grading_Notes.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Student_Essay_Feedback_Draft.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Curriculum_Map_Spring_Sem.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Department_Meeting_Minutes.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Parent_Conference_Prep.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
World War II Causes - Lecture 4 [YouTube],chrome.exe,on_task
project_mod_final.cpp,code.exe,distracted
Essay_Draft_History.docx,winword.exe,on_task
Steam Store - Elden Ring DLC,steam.exe,distracted
Geography_Textbook_Ch3.pdf,chrome.exe,on_task
Khan Academy: Organic Chemistry Mechanisms,chrome.exe,on_task
Top 10 Funny Cat Fails 2027,chrome.exe,distracted
project_calc_v2.py,code.exe,on_task
mod_loader_config.json,code.exe,distracted
Biology_Chapter4_Notes.docx,winword.exe,on_task
Confirm Your Ticket Order - Taylor Swift Tour.docx,winword.exe,distracted
Operating Systems: Process Scheduling Lecture 4 - YouTube,chrome.exe,on_task
Top 10 Funniest Gaming Fails 2026 - YouTube,chrome.exe,distracted
cs301_assignment_scheduler.cpp - Visual Studio Code,code.exe,on_task
skyrim_mod_inventory_fix.lua - Visual Studio Code,code.exe,distracted
Week 5 Notes - Algorithms.pdf - Microsoft Edge,msedge.exe,on_task
Taylor Swift Eras Tour Tickets - Checkout.pdf - Microsoft Edge,msedge.exe,distracted
Top 10 Funniest Cat Fails 2027 - YouTube,chrome.exe,distracted
Calculus_II_Notes_Chapter4.docx,winword.exe,on_task
Buy Sneakers - Nike Official Store,msedge.exe,distracted
Project_Mars_GameMod_Final.cs,code.exe,distracted
AP_Physics_Textbook_Scan.pdf,msedge.exe,on_task
Top 10 Funniest Cat Fails 2026,chrome.exe,distracted
project_modder.py - Visual Studio Code,code.exe,distracted
final_exam_review_notes.docx - Word,winword.exe,on_task
Concert Tickets - Checkout,chrome.exe,distracted
"Being_and_Time_Heidegger_Course_Reader.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
"Existentialism_Is_a_Humanism_Sartre_Assignment.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
"Nausea_Excerpts_Final_Draft_for_Seminar.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
"Camus_The_Myth_of_Sisyphus_Required_Reading.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
"Kierkegaard_Fear_and_Trembling_Week4.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
"De_Beauvoir_The_Second_Sex_Chapter1_Course.pdf - Adobe Acrobat Reader DC"" | **Process Name**: acrobat.exe | **Task Label**: on_task",acrobat.exe,distracted
Chapter 4: Thermodynamics Lecture - Week 6.mp4,chrome.exe,on_task
notes_physics_final_draft.docx - Word,winword.exe,on_task
Buy New Sneakers - Nike Official Store.docx - Word,winword.exe,distracted
project_euler_problem_45.py - Visual Studio Code,code.exe,on_task
Calculus_Textbook_Edition3_Ch2.pdf,chrome.exe,on_task
Coldplay_Tour_Tickets_Confirmation.pdf,chrome.exe,distracted
SocioEmotional_Barriers_Curriculum_Draft_v3.docx - Word,winword.exe,on_task
My_Spanish_Learning_Journal_October.docx - Word,winword.exe,distracted
SEL_Integration_Framework_Final.docx - Word,winword.exe,on_task
Personal_French_Vocab_Tracker.docx - Word,winword.exe,distracted
Affective_Filter_Lesson_Plan_Grade9.docx - Word,winword.exe,on_task
Italian_Immersion_Trip_Notes.docx - Word,winword.exe,distracted
Anxiety_Reduction_Strategies_Syllabus.docx - Word,winword.exe,on_task
German_Grammar_Diary_Entries.docx - Word,winword.exe,distracted
Empathy_Building_Activities_Module2.docx - Word,winword.exe,on_task
Mandarin_Tone_Practice_Log.docx - Word,winword.exe,distracted
Trauma_Informed_Pedagility_Guidelines.docx - Word,winword.exe,on_task
Portuguese_Fluent_Dreams_Reflections.docx - Word,winword.exe,distracted
Student_Wellbeing_Assessment_Rubric.docx - Word,winword.exe,on_task
Japanese_Kanji_Memory_Challenge.docx - Word,winword.exe,distracted
Motivation_Barriers_Teacher_Training.docx - Word,winword.exe,on_task
`bengali_drama_draft.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`shakespeare_analysis_notes.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`tagore_theater_critique.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`modern_bengali_stage.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`hamlet_context_review.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`drama_syllabus_updates.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`bengali_folk_theater.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`shakespeare_lecture_prep.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`comparative_drama_study.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`bengali_tragedy_outline.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`elizabethan_stage_notes.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`drama_history_chapter4.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`shakespeare_seminar_prep.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`bengali_performance_art.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`global_drama_curriculum.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
`shakespearean_tragedies.txt - vim` | **Process Name**: vim.exe | **Task Label**: on_task,vim.exe,distracted
'Lecture 4: Data Structures - YouTube',chrome.exe,on_task
'Top 10 Gaming Moments - YouTube',chrome.exe,distracted
'CS101_Notes.docx - Word',winword.exe,on_task
'Buy Concert Tickets - Eventbrite',msedge.exe,distracted
'Project: Sorting Algorithms - Visual Studio Code',code.exe,on_task
'Modding Skyrim: Script Extender - Visual Studio Code',code.exe,distracted
"State Archive of the Russian Empire: Manifesto on Emancipation of Serfs (1861)"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Digital Collection: Alexander II's Judicial Reform Documents"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Primary Sources: The Great Reforms of the 1860s Database"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Archival Record: Zemstvo Assembly Minutes (1864-1870)"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Ministry of Internal Affairs: Police Reform Statistics (1862)"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"University Archive: Military Reform Conscription Rolls"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Census Data 1897: Demographic Shifts Under Tsarism"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"IV Insertion: Venipuncture Techniques - Clinical Skills Module | Labster"" | **Process Name**: labster.exe | **Task Label**: on_task",labster.exe,distracted
"IV Therapy Fundamentals: Catheter Placement Protocol | Labster"" | **Process Name**: labster.exe | **Task Label**: on_task",labster.exe,distracted
"Clinical Competency: Peripheral IV Insertion Assessment | Labster"" | **Process Name**: labster.exe | **Task Label**: on_task",labster.exe,distracted
"Skills Lab: IV Line Maintenance and Troubleshooting | Labster"" | **Process Name**: labster.exe | **Task Label**: on_task",labster.exe,distracted
"Nursing Education: Safe IV Insertion Step-by-Step | Labster"" | **Process Name**: labster.exe | **Task Label**: on_task",labster.exe,distracted
"AP_Physics_C_Conceptual_Modeling_Assessment_Q3.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",chrome.exe,distracted
"Gravitational_Fields_Conceptual_Model_Rubric.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",chrome.exe,distracted
"Student_Misconceptions_in_Kinematic_Modeling_Analysis.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",chrome.exe,distracted
"AP_Physics_1_Energy_Modeling_Free_Response_Draft.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",chrome.exe,distracted
"Electromagnetism_Conceptual_Framework_Lesson_Plan.docx - Word"" | **Process Name**: winword.exe | **Task Label**: on_task",chrome.exe,distracted
'Thermodynamics Lecture 4 - Week 6',chrome.exe,on_task
'Elden Ring Speedrun Any% Glitchless',chrome.exe,distracted
'CS101 Data Structures Final Project - main.cpp',code.exe,on_task
'Skyrim SE - Frostfall Mod Configuration',code.exe,distracted
'Physics Formula Sheet Draft',winword.exe,on_task
'Buy Concert Tickets - Checkout',winword.exe,distracted
Lecture 4: Introduction to Macroeconomics - YouTube,chrome.exe,on_task
Top 10 Funniest Cat Fails of 2024 - YouTube,chrome.exe,distracted
BIO201_Final_Notes.docx - Word,winword.exe,on_task
Summer Sale: Up to 70% Off Sneakers - FootLocker,winword.exe,distracted
CS50 Lecture 12 - Dynamic Memory Allocation [Video],msedge.exe,on_task
Minecraft Speedrun World Record Attempt - Live Stream,msedge.exe,distracted
final_project_main.py - src - Visual Studio Code,code.exe,on_task
skyrim_mod_script_v2.py - src - Visual Studio Code,code.exe,distracted
Organic_Chemistry_Textbook_Ch5.pdf,chrome.exe,on_task
Taylor_Swift_Eras_Tour_Tickets_Confirmation.pdf,chrome.exe,distracted
"Atonement and the Ethics of Narrative: A Critical Analysis of Ian McEwan"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"The Evolution of Moral Ambiguity in McEwan's Early Short Stories"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Saturday by Ian McEwan: Neurology and the Post-9/11 Novel (JSTOR)"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Draft: Chapter 3 - The Secular Sacrament in 'The Children Act'"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Pedagogical Approaches to Teaching 'Amsterdam' in Undergraduate Seminars"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Reviewing Peer Submissions: McEwan and the Concept of Regret"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
"Archival Notes: Correspondence between McEwan and Martin Amis"" | **Process Name**: chrome.exe | **Task Label**: on_task",chrome.exe,distracted
Limiting Reagents - Stoichiometry Lecture,chrome.exe,on_task
Top 10 Funniest Cat Fails 2027,chrome.exe,distracted
thermodynamics_notes.docx - Word,winword.exe,on_task
Glastonbury 2027 Ticket Confirmation.pdf,msedge.exe,distracted
The Cold War: Causes and Consequences - Lecture 4 [YouTube],chrome.exe,on_task
mod_config.lua - Fallout 4 Script Extender,code.exe,distracted
A-Level History Notes: The Treaty of Versailles - Google Docs,chrome.exe,on_task
Lecture 4: The French Revolution - HIST101 - YouTube,chrome.exe,on_task
Top 10 Funniest Cat Fails of 2026 - YouTube,chrome.exe,distracted
main.py - python_intro_assignment - Visual Studio Code,code.exe,on_task
skyblock_mod_loader.java - MinecraftForge - Visual Studio Code,code.exe,distracted
Introduction_to_Macroeconomics_Ch3.pdf - Adobe Acrobat Reader DC,acrord32.exe,on_task
Calculus_II_Textbook_Sec4.2.pdf - Google Chrome,chrome.exe,on_task
Taylor Swift Eras Tour - Ticket Confirmation.pdf - Google Chrome,chrome.exe,distracted
Week 5 Notes - History Study Group | Discord,discord.exe,on_task
General Memes 🤣 | Discord,discord.exe,distracted
A-Level Physics: Quantum Mechanics Lecture 4 - YouTube,chrome.exe,on_task
Buy Cheap Gaming Headsets & Keyboards | TechStore,chrome.exe,distracted
minecraft_mod_config.json - Visual Studio Code,code.exe,distracted
Edexcel_Chemistry_Notes_Chapter4.pdf - Adobe Reader,chrome.exe,on_task
Glastonbury_2026_Ticket_Confirmation.pdf - Adobe Reader,chrome.exe,distracted
Quantum Mechanics Lecture 4 - Entanglement (YouTube),chrome.exe,on_task
Top 10 Funniest Cat Fails 2026 (YouTube),chrome.exe,distracted
notes_cs_algorithms.docx - Word,winword.exe,on_task
Buy Cheap Sneakers | Nike UK - Word,winword.exe,distracted
project_mod_loader.py - Visual Studio Code,code.exe,distracted
server_tick_rate_fix.py - Visual Studio Code,code.exe,on_task
A-Level_Physics_Textbook_Chapter3.pdf,chrome.exe,on_task
Coldplay_London_Tickets_Confirmation.pdf,chrome.exe,distracted
Quantum Mechanics: Wave Functions - Lecture 4,chrome.exe,on_task
Elden Ring Speedrun World Record,chrome.exe,distracted
CS101_Final_Project_Module.py - Visual Studio Code,code.exe,on_task
Skyrim Modding Guide - Script Fixes,code.exe,distracted
Thermodynamics_Problem_Set_3.pdf,msedge.exe,on_task
"Atmospheric Aerosol Forcing Mechanisms in the Arctic - Manuscript.docx"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Stratospheric Ozone Depletion Trends 2024 - Final Review.docx"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Modeling Precipitation Patterns in Semi-Arid Regions.docx"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Impact of Methane Hydrates on Global Warming Potentials.docx"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Paleoclimatic Reconstruction Using Ice Core Data.docx"" | **Process Name**: winword.exe | **Task Label**: on_task",winword.exe,distracted
"Materiality and Memory: Pottery Traditions in the Andes - JSTOR"" | **Process Name**: msedge.exe | **Task Label**: on_task",msedge.exe,distracted
"The Semiotics of Textile Patterns in West Africa - Sage Journals"" | **Process Name**: msedge.exe | **Task Label**: on_task",msedge.exe,distracted
"Ritual Objects and Social Cohesion: A Case Study - Anthropological Quarterly"" | **Process Name**: msedge.exe | **Task Label**: on_task",msedge.exe,distracted
